Index	Metal center 	Complex AH	pKa	solvent	reference base	DOI	DOI2	DOI3	page number	Temperature (K)	Comments	Index	SMILES (A)	SMILES(AH)
11	Ni	[HNi(dedpe)2]+	20.3	bezonitrile	triethylamine	http://dx.doi.org/10.1021/acscatal.7b03396%20 	http://dx.doi.org/10.1021/om0100582		"1314 	 1833"	298		11	[Ni]12(P(CCP2(CC)CC)(c2ccccc2)c2ccccc2)P(CCP1(CC)CC)(c1ccccc1)c1ccccc1	[NiH]12(P(CCP2(CC)CC)(c2ccccc2)c2ccccc2)P(CCP1(CC)CC)(c1ccccc1)c1ccccc1
12	Ni	[HNi(dppv)2]+	13.2	acetonitrile	anisidine	http://dx.doi.org/10.1021/acscatal.7b03396%20 	http://dx.doi.org/10.1021/om0100582		"1314 	 1833"	298		12	[Ni]12(P(CCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[NiH]12(P(CCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
13	Ni	[HNi((P(Cy))2(N(Ph))2))((P(Ph))2(N(Ph))2)]+	16.5	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396%20 	https://doi.org/10.1021/ja204489e		"1314 	 12778"	298		13	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1
14	Ni	[HNi((P(Cy))2(N(Bn))2)2]+	21.2	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396%20 	http://dx.doi.org/10.1021/om070143v		"1314 	 3920"	298		14	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)Cc1ccccc1)C1CCCCC1)Cc1ccccc1)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)Cc1ccccc1)C1CCCCC1)Cc1ccccc1)C1CCCCC1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)Cc1ccccc1)C1CCCCC1)Cc1ccccc1)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)Cc1ccccc1)C1CCCCC1)Cc1ccccc1)C1CCCCC1
15	Ni	[HNi((P(Cy))2(N(t-Bu))2)2]+	24.6	acetonitrile	[H-MTBD]BF4	http://dx.doi.org/10.1021/acscatal.7b03396%20 	http://dx.doi.org/10.1021/ja400705a		"1314 	 9703"	298		15	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)C(C)(C)C)C1CCCCC1)C(C)(C)C)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)C(C)(C)C)C1CCCCC1)C(C)(C)C)C1CCCCC1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)C(C)(C)C)C1CCCCC1)C(C)(C)C)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)C(C)(C)C)C1CCCCC1)C(C)(C)C)C1CCCCC1
16	Ni	[HNi((P(Cy))2(N(Ph))2)2]+	17.3	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396%20 	https://doi.org/10.1021/ja204489e		"1314 	 12778"	298		16	[Ni@]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1	[NiH]12([P@@]3(CN(C[P@]1(CN(C3)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1)[P@@]1(CN(C[P@]2(CN(C1)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1
17	Ni	[HNi(depp)2]+	23.3	acetonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja0116829		"1314 	 1921 "	298		17	[Ni]12(P(CCCP2(CC)CC)(CC)CC)P(CCCP1(CC)CC)(CC)CC	[NiH]12(P(CCCP2(CC)CC)(CC)CC)P(CCCP1(CC)CC)(CC)CC
18	Ni	[HNi(PNP)2]+	22.2	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/om070143v		"1314 	 3921"	298	PNP = Et2PCH2N(Me)CH2PEt2	18	[Ni]12(P(CN(CP2(CC)CC)C)(CC)CC)P(CN(CP1(CC)CC)C)(CC)CC	[NiH]12(P(CN(CP2(CC)CC)C)(CC)CC)P(CN(CP1(CC)CC)C)(CC)CC
19	Ni	[HNi(dppp)(P(Ph))2(N(Bn))2]+	18	bezonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja204489e	https://doi.org/10.1021/ja900483x	"1314 	 12771 	 5939"	298		19	[Ni@@]12(P(CCCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)[P@]2(CN(C[P@@]1(CN(C2)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1	[NiH]12(P(CCCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)[P@]2(CN(C[P@@]1(CN(C2)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1
20	Pt	[HPt(dmpe)2]+	31.1	bezonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y	http://dx.doi.org/10.1021/ja0116829	"1314 	 11439 	 1921"	298		20	[Pt]12(P(CCP2(C)C)(C)C)P(CCP1(C)C)(C)C	[PtH]12(P(CCP2(C)C)(C)C)P(CCP1(C)C)(C)C
21	Pt	[HPt(depe)2]+	29.7	bezonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y	http://dx.doi.org/10.1021/ja0116829	"1315 	 11439 	 1921"	298		21	[Pt]12(P(CCP2(CC)CC)(CC)CC)P(CCP1(CC)CC)(CC)CC	[PtH]12(P(CCP2(CC)CC)(CC)CC)P(CCP1(CC)CC)(CC)CC
22	Pt	[HPt(dmpp)2]+	30.4	bezonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y	http://dx.doi.org/10.1021/ja0116829	"1315 	 11439 	 1921"	298		22	[Pt]12(P(CCCP2(C)C)(C)C)P(CCCP1(C)C)(C)C	[PtH]12(P(CCCP2(C)C)(C)C)P(CCCP1(C)C)(C)C
23	Pt	[HPt(dppe)2]+	22	acetonitrile	triethylamine	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/ja991888y		"1315 	 11435"	298		23	[Pt]12(P(CCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[PtH]12(P(CCP2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
24	Pd	[HPd(depe)2]+	23.2	acetonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0395240		"1315 	 5508"	298		24	P1(CCP(CC)(CC)[Pd]21P(CCP2(CC)CC)(CC)CC)(CC)CC	P1(CCP(CC)(CC)[PdH]21P(CCP2(CC)CC)(CC)CC)(CC)CC
25	Pd	[HPd(PNP)2]+	22.1	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/om0342816		"1315 	 513"	298	PNP = Et2PCH2N(Me)CH2PEt2	25	P1(CN(CP(CC)(CC)[Pd]21P(CN(CP2(CC)CC)C)(CC)CC)C)(CC)CC	P1(CN(CP(CC)(CC)[PdH]21P(CN(CP2(CC)CC)C)(CC)CC)C)(CC)CC
26	Pt	[HPt(PNP)2]+	27.6	acetonitrile	Estimated using E1/2	http://dx.doi.org/10.1021/acscatal.7b03396 	http://dx.doi.org/10.1021/om0342816		"1315 	 513"	298	PNP = Et2PCH2N(Me)CH2PEt2	26	P1(CN(CP(CC)(CC)[Pt]21P(CN(CP2(CC)CC)C)(CC)CC)C)(CC)CC	P1(CN(CP(CC)(CC)[PtH]21P(CN(CP2(CC)CC)C)(CC)CC)C)(CC)CC
27	Pd	[HPd(depp)2]+	22.9	acetonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0395240		"1315 	 5508"	298		27	P1(CCCP(CC)(CC)[Pd]21P(CCCP2(CC)CC)(CC)CC)(CC)CC	P1(CCCP(CC)(CC)[PdH]21P(CCCP2(CC)CC)(CC)CC)(CC)CC
28	Pd	[HPd(depx)2]+	19.8	acetonitrile	triethylamine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0395240		"1315 	 5508"	298		28	[Pd]12(P(Cc3c(CP1(CC)CC)cccc3)(CC)CC)P(Cc1c(CP2(CC)CC)cccc1)(CC)CC	[PdH]12(P(Cc3c(CP1(CC)CC)cccc3)(CC)CC)P(Cc1c(CP2(CC)CC)cccc1)(CC)CC
29	Pd	[HPd(depPE)2]+	18.3	acetonitrile	triethylamine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0395240		"1315 	 5508"	298		29	[Pd]12(P(c3ccccc3Oc3c(P1(CC)CC)cccc3)(CC)CC)P(c1c(cccc1)Oc1c(P2(CC)CC)cccc1)(CC)CC	[PdH]12(P(c3ccccc3Oc3c(P1(CC)CC)cccc3)(CC)CC)P(c1c(cccc1)Oc1c(P2(CC)CC)cccc1)(CC)CC
30	Pd	[HPd(EtXantphos)2]+	18.5	acetonitrile	triethylamine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0395240		"1315 	 5508"	298		30	[Pd]12(P(c3cccc4c3Oc3c(P1(CC)CC)cccc3C4(C)C)(CC)CC)P(c1c3c(ccc1)C(c1c(c(P2(CC)CC)ccc1)O3)(C)C)(CC)CC	[PdH]12(P(c3cccc4c3Oc3c(P1(CC)CC)cccc3C4(C)C)(CC)CC)P(c1c3c(ccc1)C(c1c(c(P2(CC)CC)ccc1)O3)(C)C)(CC)CC
31	Rh	HRh((P(Ph))2(N(Bn))2)2	44.8	bezonitrile	Verkade's base	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/jacs.5b04291		"1315 	 8255"	298		31	[P@]12(CN(C[P@@](CN(C1)Cc1ccccc1)([Rh@]12[P@@]2(CN(C[P@]1(CN(C2)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1	[P@]12(CN(C[P@@](CN(C1)Cc1ccccc1)([RhH]12[P@@]2(CN(C[P@]1(CN(C2)Cc1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1)c1ccccc1)Cc1ccccc1)c1ccccc1
32	Rh	HRh(P(Ph))2(N(PhOMe))2)2	39.4	bezonitrile	Verkade's base	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/jacs.5b04291		"1315 	 8255"	298		32	[P@]12(CN(C[P@@](CN(C1)c1ccc(cc1)OC)([Rh@]12[P@@]2(CN(C[P@]1(CN(C2)c1ccc(cc1)OC)c1ccccc1)c1ccc(cc1)OC)c1ccccc1)c1ccccc1)c1ccc(cc1)OC)c1ccccc1	[P@]12(CN(C[P@@](CN(C1)c1ccc(cc1)OC)([RhH]12[P@@]2(CN(C[P@]1(CN(C2)c1ccc(cc1)OC)c1ccccc1)c1ccc(cc1)OC)c1ccccc1)c1ccccc1)c1ccc(cc1)OC)c1ccccc1
33	Rh	HRh(P(Cy))2(N(Ph))2)2	46	bezonitrile	Verkade's base	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/jacs.5b04291		"1315 	 8255"	298		33	[P@]12(CN(C[P@@](CN(C1)c1ccccc1)([Rh@]12[P@@]2(CN(C[P@]1(CN(C2)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1)C1CCCCC1)c1ccccc1)C1CCCCC1	[P@]12(CN(C[P@@](CN(C1)c1ccccc1)([RhH]12[P@@]2(CN(C[P@]1(CN(C2)c1ccccc1)C1CCCCC1)c1ccccc1)C1CCCCC1)C1CCCCC1)c1ccccc1)C1CCCCC1
34	Rh	HRh((P(Cy))2(N(PhOMe)2)2	49.9	bezonitrile	Verkade's base	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/jacs.5b04291		"1315 	 8255"	298		34	[P@]12(CN(C[P@@](CN(C1)c1ccc(cc1)OC)([Rh@]12[P@@]2(CN(C[P@]1(CN(C2)c1ccc(cc1)OC)C1CCCCC1)c1ccc(cc1)OC)C1CCCCC1)C1CCCCC1)c1ccc(cc1)OC)C1CCCCC1	[P@]12(CN(C[P@@](CN(C1)c1ccc(cc1)OC)([RhH]12[P@@]2(CN(C[P@]1(CN(C2)c1ccc(cc1)OC)C1CCCCC1)c1ccc(cc1)OC)C1CCCCC1)C1CCCCC1)c1ccc(cc1)OC)C1CCCCC1
35	Rh	HRh(dppb)2	35	acetonitrile	bromoaniline	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/om020421k		"1315 	 4825"	298		35	[Rh]12(P(c3c(P1(c1ccccc1)c1ccccc1)cccc3)(c1ccccc1)c1ccccc1)P(c1ccccc1P2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[RhH]12(P(c3c(P1(c1ccccc1)c1ccccc1)cccc3)(c1ccccc1)c1ccccc1)P(c1ccccc1P2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
36	Ru	[HRu(?6-C6Me6)(bpy)]+	22.5	acetonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja302937q		"1315 	 15749"	298		36	[Ru]123(n4c(=c5n1cccc5)cccc4)[C@]1([C]([C@@]2([C]([C@@]3([C]1C)C)C)C)C)C	[RuH]12(N3C(=CCC=C3)C3=CCC=CN13)[C@]1(C(=C([C]([C@@]2([C]1C)C)C)C)C)C
37	Ru	[HRu(tpy)(bpy)]+	32	acetonitrile	proazaphosphatranes	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja302937q	reference base has a pKa of 32.9 acetonitrile	"1315 	 15749"	298		37	[Ru]123(N4C=CCC=C4C4=CCC=CN14)N1C=CC=C[C@H]1C1=CCC=C(N21)[C@H]1N3C=CC=C1	[RuH]123(N4C=CCC=C4C4=CCC=CN14)N1C=CCC=C1C1=CCC=C(N21)C1=CCC=CN31
38	Co	[H2Co(dppe)2]+	22.8	acetonitrile	tetramethylguanidine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0122804		"1315 	 2988"	298		38	[CoH]12(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[CoH2]12(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
39	Co	HCo(dppe)2	38.1	acetonitrile	Thermodynamic cycle	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0122804	thermodynamic cycle based upon the 2 pKa values calculated in the paper	"1315 	 2988"	298	thermodynamic cycle based upon the 2 pKa values calculated in the paper	39	[Co]12(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[CoH]12(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
40	Co	[HCo(dppe)2]+	23.6	acetonitrile	Thermodynamic cycle	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0122804	'	"1315 	 2988"	298	thermodynamic cycle based upon the 2 pKa values calculated in the paper	40	[Co]12(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[CoH]12(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
41	Ir	[HCp*Ir(bpy)]+	23.3	acetonitrile	DBU	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja508762g		"1315 	 S13"	298		41	[Ir@]12(n3c(=c4n1cccc4)cccc3)[C@]1([C]([C@@]2(C(=C1C)C)C)C)C	[IrH]12(N3C(=CCC=C3)C3=CCC=CN13)[C@]1([C]([C@@]2(C(=C1C)C)C)C)C
42	Co	[HCo(Cp)(dppe)]+	18.4	acetonitrile	triethylamine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/jacs.6b10148		"1315 	 SI-34"	298		42	[Co]12(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)[C@H]1[CH][C@@H]2C=C1	[CoH]1[C@H]2[CH][C@@H]1C=C2.P(CCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
43	Co	[HCo(Cp(C5F4N))(P(tBu))2(N(Ph))2]+	15.6	bezonitrile	BnNH3+	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/om5004607		"1315 	 5831"	298		43	[Co]1[C@H]2[C]([C@@H]1C=C2)c1[c][c]n[c][c]1.P1(CN(CP(CN(C1)c1ccccc1)C(C)(C)C)c1ccccc1)C(C)(C)C	[CoH]1[C@H]2[C]([C@@H]1C=C2)c1[c][c]n[c][c]1.P1(CN(CP(CN(C1)c1ccccc1)C(C)(C)C)c1ccccc1)C(C)(C)C
44	Co	[HCo(dppe)2(CH3CN)]+2	11.3	acetonitrile	anisidine	http://dx.doi.org/10.1021/acscatal.7b03396 	https://doi.org/10.1021/ja0122804		"1315 	 2988"	298		44	[Co]12([N][C]C)(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	[CoH]12([N][C]C)(P(CCP1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)P(CCP2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
45	Cr	HCpCr(CO)3	13.3	acetonitrile	pyridine	https://doi.org/10.1021/ja00369a019			1259	298		45	[Cr]1([C][O])([C][O])([C][O])[C@@H]2[CH][C@H]1C=C2	[CrH]123([C@@H]4C=C[C@H]1[CH]4)C(=O)[C@]3(C2=O)[O]
46	Mo	HCpMo(CO)3	13.9	acetonitrile	pyridine	https://doi.org/10.1021/ja00369a019			1259	T = 273 K		46	[C@@H]12C=C[C@@H]([CH]1)[Mo]2([C][O])([C][O])[C][O]	[C@@H]12C=C[C@@H]([CH]1)[MoH]132C(=O)[C@]3(C1=O)[O]
47	W	HCpW(CO)3	16.1	acetonitrile	morpholine	https://doi.org/10.1021/ja00369a019			1259	298		47	[C@@H]12C=C[C@@H]([CH]1)[W]2([C][O])([C][O])[C][O]	[C@@H]12C=C[C@@H]([CH]1)[WH]132C(=O)[C@]3(C1=O)[O]
48	Os	H2cis-Os(CO)4	20.8	acetonitrile	triethylamine	https://doi.org/10.1021/ja00369a019			1259	298		48	[OsH]([C][O])([C][O])([C][O])[C][O]	[OsH2]([C][O])([C][O])([C][O])[C][O]
49	Os	Hcis-Os(CO)4(CH3)	23	acetonitrile	tetramethylguanidine	https://doi.org/10.1021/ja00369a019			1259	T = 273 K		49	[Os]([C][O])([C][O])([C][O])([C][O])C	[OsH]([C][O])([C][O])([C][O])([C][O])C
50	Os	Os2(CO)8H2	20.4	acetonitrile	triethylamine	https://doi.org/10.1021/ja00369a019			1259	298		50	[OsH]([C][O])([C][O])([C][O])([C][O])[Os]([C][O])([C][O])([C][O])[C][O]	[OsH]([C][O])([C][O])([C][O])([C][O])[OsH]([C][O])([C][O])([C][O])[C][O]
51	Co	HCo(CO)4	8.3	acetonitrile	p-(trifluormethyl)aniline	https://doi.org/10.1021/ja00269a022			2261	T = 253 K		51	[Co]([C][O])([C][O])([C][O])[C][O]	[CoH]([C][O])([C][O])([C][O])[C][O]
52	Co	HCo(CO)3P(OPh)3	11.3	acetonitrile	anisidine	https://doi.org/10.1021/ja00269a022			2261	298		52	[Co]([C][O])([C][O])([C][O])P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1	[CoH]([C][O])([C][O])([C][O])P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
53	Fe	H2Fe(CO)4	11.4	acetonitrile	aniline	https://doi.org/10.1021/ja00269a022			2261	T = 253 K		53	[FeH]([C][O])([C][O])([C][O])[C][O]	[FeH2]([C][O])([C][O])([C][O])[C][O]
54	Mn	HMn(CO)5	15.1	acetonitrile	morpholine	https://doi.org/10.1021/ja00269a022			2261	298		54	[Mn]([C][O])([C][O])([C][O])([C][O])[C][O]	[MnH]([C][O])([C][O])([C][O])([C][O])[C][O]
